symbol,name,sector,industry,marketCap,PE_ratio,PB_ratio,EPS,dividendYield,debtToEquity,Datetime,Close,High,Low,Open,Volume
,,,,,,,,,,,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:08:00+00:00,43.27000045776367,43.29999923706055,43.09000015258789,43.09000015258789,0
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:09:00+00:00,43.22999954223633,43.349998474121094,43.22999954223633,43.27000045776367,5100
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:10:00+00:00,43.18000030517578,43.220001220703125,43.13999938964844,43.16999816894531,2600
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:11:00+00:00,43.41999816894531,43.41999816894531,43.16999816894531,43.20000076293945,30500
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:12:00+00:00,43.52000045776367,43.599998474121094,43.41999816894531,43.41999816894531,90100
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:13:00+00:00,43.540000915527344,43.540000915527344,43.380001068115234,43.52000045776367,66800
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:14:00+00:00,43.470001220703125,43.540000915527344,43.43000030517578,43.540000915527344,103100
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:15:00+00:00,43.459999084472656,43.459999084472656,43.36000061035156,43.439998626708984,6900
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:16:00+00:00,43.540000915527344,43.599998474121094,43.459999084472656,43.459999084472656,7100
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:17:00+00:00,43.59000015258789,43.59000015258789,43.529998779296875,43.59000015258789,9600
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,50140692480,28.473055,1.9947144,1.67,4.54,182.108,2025-11-25 13:18:00+00:00,43.630001068115234,43.630001068115234,43.540000915527344,43.560001373291016,7600
