symbol,name,sector,industry,marketCap,PE_ratio,PB_ratio,EPS,dividendYield,debtToEquity,Datetime,Close,High,Low,Open,Volume
,,,,,,,,,,,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:03:00+00:00,43.439998626708984,43.45000076293945,43.40999984741211,43.43000030517578,0
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:04:00+00:00,43.369998931884766,43.439998626708984,43.33000183105469,43.400001525878906,11700
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:05:00+00:00,43.2599983215332,43.33000183105469,43.2599983215332,43.33000183105469,3800
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:06:00+00:00,43.290000915527344,43.290000915527344,43.25,43.25,700
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:07:00+00:00,43.290000915527344,43.29999923706055,43.25,43.290000915527344,3700
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:08:00+00:00,43.29999923706055,43.310001373291016,43.279998779296875,43.290000915527344,1500
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:09:00+00:00,43.310001373291016,43.310001373291016,43.279998779296875,43.29999923706055,1600
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:10:00+00:00,43.279998779296875,43.29999923706055,43.279998779296875,43.29999923706055,2400
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:11:00+00:00,43.2599983215332,43.29999923706055,43.2599983215332,43.2599983215332,1900
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:12:00+00:00,43.2599983215332,43.2599983215332,43.2599983215332,43.2599983215332,500
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:13:00+00:00,43.29999923706055,43.310001373291016,43.25,43.25,7200
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:14:00+00:00,43.34000015258789,43.34000015258789,43.25,43.290000915527344,10700
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:15:00+00:00,43.33000183105469,43.33000183105469,43.279998779296875,43.29999923706055,7500
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:16:00+00:00,43.38999938964844,43.38999938964844,43.349998474121094,43.349998474121094,1900
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts,191365693440,29.425808,8.539599,1.55,3.61,19.717,2025-11-25 13:17:00+00:00,43.40999984741211,43.40999984741211,43.36000061035156,43.38999938964844,2800
